Displacement,Force
0.0,0.0
0.001,127.29517801394871
0.002,253.02423558033954
0.003,376.56865280679284
0.004,496.38636697234386
0.005,610.4793943903516
0.005062499999999999,565.9475896612561
0.0050999999999999995,569.7687974910561
0.0051224999999999994,571.8999755013893
0.005129249999999999,572.0959765759287
0.0051332999999999995,572.3352436167538
0.005134514999999999,572.2008941159676
0.005135972999999999,572.311236426669
0.005136847799999999,572.290051997642
0.005136880605,571.5365197919317
0.0051368904465,571.265880962381
0.0051369022563,571.2441019951875
0.00513691642806,571.199098665151
0.005136933434172,571.1957035339831
0.0051369538415064,571.1851418837491
0.00513697833030768,571.1780114789356
0.005137007716869216,571.1764598015782
0.005137042980743059,571.1780012471744
0.005137085297391671,571.1778375137783
0.005137136077370005,571.181095237798
0.005137197013344006,571.1757481717655
0.005137270136512807,571.169878315289
0.005137357884315369,571.1773969483982
0.005137463181678442,571.1867149754752
0.0051375895385141306,571.1982442874537
0.005137741166716957,571.1920697706498
0.005137923120560348,571.1924443214136
0.005138141465172418,571.1697201005627
0.005138403478706901,571.182472825687
0.005138717894948281,571.2023234736182
0.005139095194437938,571.2173770514538
0.005139547953825526,571.222565651723
0.005140091265090631,571.2733069754097
0.005140743238608758,571.3196052903744
0.005141134422719635,571.2286518308407
0.005141603843652686,571.2297450007586
0.005142167148772347,571.2153592727201
0.005142843114915942,571.2296784534341
0.00514284469921159,570.1450422289371
0.005142846600366369,570.1360630826147
