Displacement,Force
0.0,0.0
1.0e-5,1.2825141996119807e6
2.0e-5,2.563850419906723e6
3.0000000000000004e-5,3.8428249534985116e6
4.0e-5,5.118277151005344e6
5.0e-5,6.3889567389501175e6
6.0e-5,7.653727471747748e6
7.000000000000001e-5,8.911362161472632e6
8.0e-5,1.0160638716970889e7
9.0e-5,1.1400313984565603e7
0.0001,1.2629115066243457e7
0.00011,1.3845726857564641e7
0.00012,1.5048411337178323e7
0.00013000000000000002,1.6236170503929194e7
0.00014000000000000001,1.740714319152701e7
0.00015000000000000001,1.8559433266556296e7
0.00016,1.9689147580195837e7
0.00017,2.0795977464578126e7
0.00018,2.1868005550666045e7
0.00019,2.291977896280835e7
0.00019500000000000002,2.31915234449147e7
0.00019650000000000003,2.24197609603876e7
0.00019740000000000003,2.227781151088897e7
0.00019848000000000004,2.232243265253882e7
0.00019977600000000003,2.2389180181200553e7
0.00020133120000000003,2.2533883140000835e7
0.00020319744000000002,2.264300726281546e7
0.000205436928,2.2820960840979222e7
0.00020812431360000001,2.3016731236316115e7
0.00021134917632000002,2.3103319974708892e7
0.00021328409395200002,2.2750195941876452e7
0.0002156059951104,2.270184689599582e7
0.00021699913580544,2.251186629203727e7
0.000218670904639488,2.2638069809997432e7
0.0002206770272403456,2.2702126267731603e7
0.00022188070080086017,2.248048321898224e7
0.00022224180286901455,2.1838434928973876e7
0.00022267512535079979,2.184630339878592e7
0.00022293511883987092,2.1692556138700437e7
0.0002232471110267563,2.1713006159907605e7
0.00022362150165101873,2.170941877002264e7
0.00022407077040013368,2.16854609351486e7
0.0002246098928990716,2.1683786121885594e7
0.0002252568398977971,2.16251677869978e7
0.00022564500809703242,2.1449811928738594e7
0.00022611080993611477,2.147390398497472e7
0.00022666977214301363,2.146497985051996e7
0.00022734052679129223,2.1493889943844393e7
0.00022814543236922657,2.1526522876769777e7
0.00022911131906274776,2.1516074700582337e7
0.0002302703830949732,2.153297669412413e7
0.00023166125993364373,2.1576820673561886e7
0.00023333031214004836,2.1668305878860082e7
0.0002353331747877339,2.169578864013053e7
0.00023773660996495658,2.176270284857612e7
0.00024062073217762377,2.1826482788355816e7
0.00024408167883282442,2.1957304563650664e7
0.0002482348148190652,2.199830700851568e7
0.00025072669641080966,2.144802336445872e7
0.000251474260888333,1.986352494928305e7
0.00025237133826136097,1.9843399675109822e7
0.0002534478311089946,1.9885208588114e7
0.0002547396225261549,1.995811246904204e7
0.00025628977222674727,1.993987783106758e7
0.0002581499518674581,2.000118389082861e7
0.00026038216743631116,2.006302309673168e7
0.00026306082611893484,2.0173551712581087e7
0.0002662752165380832,2.0238750174392723e7
0.00027013248504106127,2.0348072002197094e7
0.00027476120724463497,2.045893350134949e7
0.0002803156738889234,2.0581698458947256e7
0.0002869810338620695,2.0802297267132524e7
0.0002872309848610625,1.817045408398465e6
0.0002875309260598541,1.8157162180985855e6
0.000287890855498404,1.8136241776093114e6
0.0002883227708246639,1.8111313811131269e6
0.00028884106921617573,1.8081642976360728e6
0.00028946302728598993,1.803568136173338e6
0.00029020937696976697,1.7990912909425013e6
0.0002911049965902994,1.7951941108258571e6
0.00029217974013493836,1.789156056200902e6
0.0002934694323885051,1.781889056346204e6
0.0002950170630927852,1.7707353558767806e6
0.0002968742199379213,1.7599312790856762e6
0.0002991028081520846,1.7464503324409027e6
0.00030177711400908064,1.735814417965208e6
0.0003049862810374758,1.713000190373404e6
0.00030883728147155007,1.6915025805800513e6
0.00031345848199243914,1.667365491150911e6
0.00031900392261750604,1.6378111093635475e6
0.0003256584513675863,1.6013046480347016e6
0.00033364388586768265,1.5610194709807748e6
0.00034322640726779823,1.5134490378623316e6
0.00035322640726779826,1.4670419740497465e6
0.0003632264072677983,1.4202200788925518e6
0.0003732264072677983,1.3732781816424336e6
0.00038322640726779834,1.3293798694208842e6
0.00039322640726779836,1.2867200747213808e6
0.0004032264072677984,1.244831721183347e6
0.0004132264072677984,1.204415252114082e6
0.00042322640726779844,1.1651543402655702e6
0.00043322640726779847,1.1284206704800979e6
0.0004432264072677985,1.0905659331982816e6
0.0004532264072677985,1.0546795859760442e6
0.00046322640726779855,1.0201506204449203e6
0.00047322640726779857,987787.6105376908
0.0004832264072677986,954402.4883047125
0.0004932264072677986,923416.4409544793
0.0005032264072677987,893168.7603496267
0.0005132264072677987,863665.6202785928
0.0005232264072677987,836347.3830423665
0.0005332264072677987,808296.3007593539
0.0005432264072677988,782604.9675684145
0.0005532264072677988,755463.5823725507
0.0005632264072677988,730580.7398368794
0.0005732264072677988,705980.1610367028
0.0005832264072677989,680622.9869289814
0.0005932264072677989,651293.6783188767
0.0006032264072677989,592020.874011296
0.0006132264072677989,574200.1215203516
0.000623226407267799,556693.1205733374
0.000633226407267799,539817.5487767762
0.000643226407267799,524015.6436456523
0.000653226407267799,508476.4006532344
0.0006632264072677991,494209.1517204783
0.0006732264072677991,479848.2854018375
0.0006832264072677991,465452.7098398744
0.0006932264072677991,451976.4437041783
0.0007032264072677992,439054.44924577477
0.0007132264072677992,426514.7860398723
0.0007232264072677992,414721.1742924055
0.0007332264072677993,402705.340432981
0.0007432264072677993,391424.5305866958
0.0007532264072677993,380828.1853715344
0.0007632264072677993,369918.8641194787
0.0007732264072677994,360131.8361978362
0.0007832264072677994,350306.0858722798
0.0007932264072677994,340556.913492695
0.0008032264072677994,331553.11478926963
0.0008132264072677995,322754.96453141444
0.0008232264072677995,314240.845190262
0.0008332264072677995,306004.5051216562
0.0008432264072677995,298037.11173595133
0.0008532264072677996,290442.1570442199
